doc_id,obra_id,unidad_id,unidad_tipo,titulo,autor,year_first_pub,decada_norm,genero_macro_normalizado,lengua,circuito,total_tokens,estructura_social_count,estructura_social_densidad,mediaciones_transatlanticas_count,mediaciones_transatlanticas_densidad,movilidad_orientacion_salida_count,movilidad_orientacion_salida_densidad,pobreza_hambre_alimentacion_count,pobreza_hambre_alimentacion_densidad,terra_casa_pertenencia_count,terra_casa_pertenencia_densidad,trabajo_deuda_count,trabajo_deuda_densidad,violencia_conflicto_count,violencia_conflicto_densidad
dieste_viaje_duelo_perdicion_tei__unidad_001,dieste_viaje_duelo_perdicion_tei,unidad_001,unidad_unica,Viaje Duelo y Pérdición,Rafael Dieste,1945,1940,novela,gl,Galicia,49442,136,27.51,11,2.22,19,3.84,10,2.02,232,46.92,86,17.39,61,12.34
el_baile_del_querubin__cuento_001,el_baile_del_querubin,cuento_001,cuento,El Baile del Querubín,Emilia Pardo Bazán,1891,1890,cuento,es,,3951,16,40.5,1,2.53,0,0.0,1,2.53,15,37.97,0,0.0,2,5.06
el_indulto__cuento_001,el_indulto,cuento_001,cuento,El Indulto,Emilia Pardo Bazán,1883,1880,cuento,es,,2356,4,16.98,1,4.24,3,12.73,4,16.98,4,16.98,4,16.98,0,0.0
el_lorito_real__cuento_001,el_lorito_real,cuento_001,cuento,El Lorito Real,Emilia Pardo Bazán,1893,1890,cuento,es,,793,1,12.61,0,0.0,0,0.0,0,0.0,2,25.22,1,12.61,0,0.0
el_mazo__cuento_001,el_mazo,cuento_001,cuento,El Mazo,Emilia Pardo Bazán,1895,1890,cuento,es,,1737,2,11.51,0,0.0,0,0.0,1,5.76,3,17.27,0,0.0,0,0.0
el_molino__cuento_001,el_molino,cuento_001,cuento,El Molino,Emilia Pardo Bazán,1892,1890,cuento,es,,2180,1,4.59,0,0.0,2,9.17,0,0.0,8,36.7,3,13.76,4,18.35
el_morito__cuento_001,el_morito,cuento_001,cuento,El Morito,Emilia Pardo Bazán,1895,1890,cuento,es,,1483,2,13.49,1,6.74,0,0.0,0,0.0,8,53.94,0,0.0,0,0.0
el_palacio_de_artasar__cuento_001,el_palacio_de_artasar,cuento_001,cuento,El Palacio de Artasar,Emilia Pardo Bazán,1895,1890,cuento,es,,1323,1,7.56,0,0.0,0,0.0,1,7.56,4,30.23,1,7.56,0,0.0
el_peregrino__cuento_001,el_peregrino,cuento_001,cuento,El Peregrino,Emilia Pardo Bazán,1899,1890,cuento,es,,2059,7,34.0,0,0.0,0,0.0,5,24.28,10,48.57,4,19.43,0,0.0
el_quinto__cuento_001,el_quinto,cuento_001,cuento,El Quinto,Emilia Pardo Bazán,1895,1890,cuento,es,,1430,3,20.98,0,0.0,0,0.0,2,13.99,4,27.97,0,0.0,1,6.99
el_revolver__cuento_001,el_revolver,cuento_001,cuento,El Revólver,Emilia Pardo Bazán,1895,1890,cuento,es,,1493,6,40.19,0,0.0,1,6.7,0,0.0,7,46.89,0,0.0,2,13.4
el_rompecabezas__cuento_001,el_rompecabezas,cuento_001,cuento,El Rompecabezas,Emilia Pardo Bazán,1899,1890,cuento,es,,1231,2,16.25,1,8.12,3,24.37,0,0.0,8,64.99,0,0.0,1,8.12
el_senor_doctoral__cuento_001,el_senor_doctoral,cuento_001,cuento,Sin_titulo,Emilia Pardo Bazán,1891,1890,cuento,es,,3181,27,84.88,5,15.72,0,0.0,11,34.58,12,37.72,2,6.29,4,12.57
el_sino__cuento_001,el_sino,cuento_001,cuento,El Sino,Emilia Pardo Bazán,1894,1890,cuento,es,,1492,1,6.7,0,0.0,4,26.81,0,0.0,2,13.4,0,0.0,6,40.21
el_sonar_del_rio__cuento_001,el_sonar_del_rio,cuento_001,cuento,El Sonar del Río,Emilia Pardo Bazán,1892,1890,cuento,es,,1630,14,85.89,3,18.4,0,0.0,0,0.0,8,49.08,3,18.4,1,6.13
el_templo__cuento_001,el_templo,cuento_001,cuento,El Templo,Emilia Pardo Bazán,1902,1900,cuento,es,,1447,0,0.0,0,0.0,2,13.82,1,6.91,3,20.73,1,6.91,0,0.0
el_tetrarca_en_la_aldea__cuento_001,el_tetrarca_en_la_aldea,cuento_001,cuento,El Tetrarca en la Aldea,Emilia Pardo Bazán,1900,1900,cuento,es,,1555,4,25.72,1,6.43,6,38.59,3,19.29,13,83.6,6,38.59,2,12.86
el_tornado__cuento_001,el_tornado,cuento_001,cuento,El Tornado,Emilia Pardo Bazán,1894,1890,cuento,es,,1819,10,54.98,0,0.0,11,60.47,1,5.5,8,43.98,0,0.0,3,16.49
el_vino_del_mar__cuento_001,el_vino_del_mar,cuento_001,cuento,El Vino del Mar,Emilia Pardo Bazán,1900,1900,cuento,es,,1403,2,14.26,1,7.13,8,57.02,0,0.0,3,21.38,0,0.0,3,21.38
el_voto__cuento_001,el_voto,cuento_001,cuento,El Voto,Emilia Pardo Bazán,1894,1890,cuento,es,,1441,10,69.4,0,0.0,13,90.22,0,0.0,7,48.58,3,20.82,1,6.94
el_voto_de_rosina__cuento_001,el_voto_de_rosina,cuento_001,cuento,El Voto de Rosiña,Emilia Pardo Bazán,1900,1900,cuento,es,,1391,9,64.7,0,0.0,1,7.19,1,7.19,9,64.7,1,7.19,4,28.76
en_coche_cama__cuento_001,en_coche_cama,cuento_001,cuento,En Coche-cama,Emilia Pardo Bazán,1914,1910,cuento,es,,1644,6,36.5,0,0.0,0,0.0,1,6.08,0,0.0,0,0.0,5,30.41
en_el_nombre_del_padre__cuento_001,en_el_nombre_del_padre,cuento_001,cuento,En el Nombre del Padre...,Emilia Pardo Bazán,1892,1890,cuento,es,,3385,23,67.95,1,2.95,0,0.0,1,2.95,18,53.18,1,2.95,5,14.77
en_silencio__cuento_001,en_silencio,cuento_001,cuento,En Silencio,Emilia Pardo Bazán,1922,1920,cuento,es,,1749,9,51.46,0,0.0,6,34.31,3,17.15,6,34.31,6,34.31,2,11.44
flor_de_santidad_001__sec_001,flor_de_santidad_001,sec_001,seccion,Flor de Santidad. Historia milenaria,Ramón del Valle-Inclán,1904,1900,novela,es,Galicia,18816,117,62.18,2,1.06,1,0.53,27,14.35,85,45.17,14,7.44,17,9.03
follas_novas__poesia_001,follas_novas,poesia_001,poesia,Follas Novas,Rosalía de Castro,1880,1880,poesia,es,,30133,45,14.93,7,2.32,16,5.31,31,10.29,122,40.49,5,1.66,21,6.97
fraternidad__cuento_001,fraternidad,cuento_001,cuento,Fraternidad,Emilia Pardo Bazán,1910,1910,cuento,es,,1128,0,0.0,0,0.0,1,8.87,1,8.87,3,26.6,0,0.0,0,0.0
fuego_a_bordo__cuento_001,fuego_a_bordo,cuento_001,cuento,Fuego a Bordo,Emilia Pardo Bazán,1885,1880,cuento,es,,5596,10,17.87,4,7.15,30,53.61,10,17.87,11,19.66,1,1.79,13,23.23
idilio__cuento_001,idilio,cuento_001,cuento,Idilio,Emilia Pardo Bazán,1892,1890,cuento,es,,1379,4,29.01,0,0.0,3,21.75,3,21.75,4,29.01,3,21.75,2,14.5
la_gota_de_sangre_1147839__cap_001,la_gota_de_sangre_1147839,cap_001,capitulo,La Gota De Sangre 1147839,Emilia Pardo Bazán,1911,1910,novela,es,,13612,55,40.41,15,11.02,2,1.47,3,2.2,56,41.14,9,6.61,25,18.37
la_madre_naturaleza_2011__cap_001,la_madre_naturaleza_2011,cap_001,capitulo,La Madre Naturaleza 2011,Emilia Pardo Bazán,1887,1880,novela,es,,88461,497,56.18,40,4.52,28,3.17,112,12.66,370,41.83,76,8.59,135,15.26
la_amenaza__cuento_001,la_amenaza,cuento_001,cuento,La Amenaza,Emilia Pardo Bazán,1900,1900,cuento,es,,1854,6,32.36,1,5.39,11,59.33,3,16.18,14,75.51,7,37.76,11,59.33
la_aventura_del_angel__cuento_001,la_aventura_del_angel,cuento_001,cuento,La Aventura del Ángel,Emilia Pardo Bazán,1897,1890,cuento,es,,1557,0,0.0,0,0.0,1,6.42,0,0.0,5,32.11,0,0.0,1,6.42
la_bicha__cuento_001,la_bicha,cuento_001,cuento,La Bicha,Emilia Pardo Bazán,1898,1890,cuento,es,,1610,14,86.96,5,31.06,0,0.0,0,0.0,7,43.48,0,0.0,5,31.06
la_camarona__cuento_001,la_camarona,cuento_001,cuento,La Camarona,Emilia Pardo Bazán,1900,1900,cuento,es,,1193,6,50.29,0,0.0,1,8.38,3,25.15,0,0.0,1,8.38,2,16.76
la_charca__cuento_001,la_charca,cuento_001,cuento,La Charca,Emilia Pardo Bazán,1910,1910,cuento,es,,1479,8,54.09,1,6.76,0,0.0,2,13.52,0,0.0,0,0.0,1,6.76
la_corpana__cuento_001,la_corpana,cuento_001,cuento,La Corpana,Emilia Pardo Bazán,1922,1920,cuento,es,,1268,4,31.55,0,0.0,0,0.0,1,7.89,3,23.66,3,23.66,2,15.77
la_danza_del_peregrino__cuento_001,la_danza_del_peregrino,cuento_001,cuento,La Danza del Peregrino,Emilia Pardo Bazán,1916,1910,cuento,es,,1622,5,30.83,0,0.0,0,0.0,2,12.33,3,18.5,2,12.33,1,6.17
la_emparedada__cuento_001,la_emparedada,cuento_001,cuento,La Emparedada,Emilia Pardo Bazán,1907,1900,cuento,es,,1131,1,8.84,0,0.0,1,8.84,0,0.0,4,35.37,0,0.0,1,8.84
la_estrella_blanca__cuento_001,la_estrella_blanca,cuento_001,cuento,La Estrella Blanca,Emilia Pardo Bazán,1912,1910,cuento,es,,2024,1,4.94,1,4.94,1,4.94,0,0.0,4,19.76,0,0.0,4,19.76
la_exangue__cuento_001,la_exangue,cuento_001,cuento,La Exangüe,Emilia Pardo Bazán,1902,1900,cuento,es,,1323,10,75.59,0,0.0,3,22.68,1,7.56,3,22.68,1,7.56,5,37.79
la_expiacion__cuento_001,la_expiacion,cuento_001,cuento,La Expiación,Emilia Pardo Bazán,1890,1890,cuento,es,,2184,6,27.47,2,9.16,1,4.58,6,27.47,7,32.05,1,4.58,1,4.58
la_flor_de_la_salud__cuento_001,la_flor_de_la_salud,cuento_001,cuento,La Flor de la Salud,Emilia Pardo Bazán,1894,1890,cuento,es,,1584,2,12.63,1,6.31,0,0.0,1,6.31,2,12.63,0,0.0,2,12.63
la_flor_seca__cuento_001,la_flor_seca,cuento_001,cuento,La Flor Seca,Emilia Pardo Bazán,1893,1890,cuento,es,,1436,14,97.49,2,13.93,0,0.0,1,6.96,3,20.89,0,0.0,2,13.93
la_hoz__cuento_001,la_hoz,cuento_001,cuento,La Hoz,Emilia Pardo Bazán,1922,1920,cuento,es,,1940,12,61.86,1,5.15,1,5.15,7,36.08,14,72.16,5,25.77,2,10.31
la_mayorazga_de_bouzas__cuento_001,la_mayorazga_de_bouzas,cuento_001,cuento,La Mayorazga de Bouzas,Emilia Pardo Bazán,1900,1900,cuento,es,,3547,41,115.59,1,2.82,3,8.46,8,22.55,16,45.11,6,16.92,5,14.1
la_mirada__cuento_001,la_mirada,cuento_001,cuento,La Mirada,Emilia Pardo Bazán,1908,1900,cuento,es,,1329,8,60.2,1,7.52,1,7.52,2,15.05,6,45.15,0,0.0,1,7.52
