obra_id,title,author_normalized,year,decade,tokens_total,tokens_total_old,tokens_total_full,n_cases_total,n_emigrant_mentions,emigrant_rate_per_1k_tokens,top_3_scenes_by_rate,top_3_emigrant_markers,year_missing,format_missing,tokens_low,token_mismatch_flag
la_señorita_aglae,La Señorita Aglae,"Pardo Bazán, Emilia",1922.0,1920s,1728,1728,1728,11,11,6.37,amor_deseo(4) | aldea_ciudad(2) | violencia_agresion(2),Buenos Aires(3) | buque|barco|vapor(3) | criados|esclavos|peones(2),0,1,0,0
madrugueiro,Madrugueiro,"Pardo Bazán, Emilia",1922.0,1920s,1640,1640,1640,19,11,6.71,aldea_ciudad(4) | religiosidad_supersticion(4) | retorno_indiano(4),indiano(4) | riqueza(3) | Montevideo(2),0,1,0,0
la_charca,La Charca,"Pardo Bazán, Emilia",,unknown_year,1578,1578,1578,2,3,1.9,amor_deseo(1) | trabajo_jornalero(1),criados|esclavos|peones(2) | palacio|mansión|quinta|estancia(1),1,1,0,0
la_expiacion,La Expiacón,"Pardo Bazán, Emilia",,unknown_year,2318,2318,2318,8,2,0.86,religiosidad_supersticion(3) | amor_deseo(1) | ciclo_agricola(1),fortuna(1) | nostalgia|saudade|morriña(1),1,1,0,0
puntería,Puntería,"Pardo Bazán, Emilia",,unknown_year,1888,1888,1888,12,11,5.83,amor_deseo(6) | aldea_ciudad(2) | muerte_duelo(2),palacio|mansión|quinta|estancia(7) | gallego|español|europeo(2) | colonia|comunidad de emigrados(1),1,1,0,0
queixumes_dos_pinos,Queixumes dos pinos,"Pondal, Eduardo",1886.0,1880s,30519,30519,30519,71,48,1.57,amor_deseo(30) | religiosidad_supersticion(24) | deuda_usura(3),palacio|mansión|quinta|estancia(12) | buque|barco|vapor(6) | prisión|cautividad|esclavitud(6),0,1,0,0
supersticiones_de_galicia_y_preocupaciones_vulgares_tei,Supersticiones de Galicia y preocupaciones vulgares,"Rodríguez López, Xesús",,unknown_year,56526,56526,56526,286,99,1.75,religiosidad_supersticion(107) | muerte_duelo(47) | violencia_agresion(30),gallego|español|europeo(46) | fortuna(10) | paisano|compatriota(9),1,1,0,0
flor_de_santidad_001,Flor de Santidad. Historia milenaria,"Valle-Inclán, Ramón del",1904.0,1900s,19221,19221,19221,99,22,1.14,religiosidad_supersticion(42) | ciclo_agricola(18) | hambre_subsistencia(12),criados|esclavos|peones(9) | lejanía(4) | palacio|mansión|quinta|estancia(3),0,1,0,0
aguila_de_blason_001,Águila de blasón,"Valle-Inclán, Ramón del",1907.0,1900s,586,586,586,4,4,6.83,trabajo_jornalero(2) | herencia_tierra(1) | violencia_agresion(1),criados|esclavos|peones(2) | palacio|mansión|quinta|estancia(1) | riqueza(1),0,1,1,0
romance_de_lobos_001,Romance de lobos,"Valle-Inclán, Ramón del",1908.0,1900s,617,617,617,6,2,3.24,muerte_duelo(3) | violencia_agresion(2) | aldea_ciudad(1),buque|barco|vapor(1) | criados|esclavos|peones(1),0,1,1,0
cara_de_plata_001,Cara de plata,"Valle-Inclán, Ramón del",1923.0,1920s,828,828,828,8,0,0.0,deuda_usura(4) | muerte_duelo(2) | trabajo_jornalero(2),,0,1,1,0
